name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
purple sheep's burr,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),,0.2,0.6,"Bronze, Purple, Silver / Grayish",,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506C27F0>
chenille plant,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,3,2.0,,,"Showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5026E700>
"chenille, firetail",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),Moderate,0.7,0.6,,,"Showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50738370>
common bear’s breeches,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),,1.3,1.0,,Yellow,"Showy, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50098070>
"Freeman maple, columnar red maple",Fast,Full sun,,Zone 4: (-34 to -29 C),,15,5,,"Orange, Red","Not showy, Red, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50361880>
trident maple,,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),,10,10,,"Orange, Red",Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503E2940>
vine maple,Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Low,7,7,,"Yellow, Orange, Red","Showy, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C6430>
"Douglas maple, Rocky Mountain maple",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Wetlands,10,7,,"Yellow, Orange, Red","Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x942 at 0x7FBF50060700>
paperbark maple,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,10,7,"Bluish, Dark-green, greyish undersides",Red,"Not showy, Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50391A90>
fernleaf maple,Moderate,"Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,5,7,,Red,"Showy, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502EE9D0>
bigleaf maple,Moderate,Full sun,"Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,30,25,,"Yellow, Orange","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5029BD00>
"Manitoba maple , box elder",,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),,15,10,"Green, Nearly White",Yellow,"Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5199FB50>
red-leaf Japanese maple,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,7,10,,"Orange, Red","Not showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A210D0>
dissected red Japanese maple,,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),,2.0,3,"Purple, Dark-red",Orange,"Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51AAB400>
Japanese maple,Slow,Full sun,,Zone 6: (-23 to -18 C),,3,4,,,"Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519AF2B0>
Chishio Japanese maple,,,,Zone 6: (-23 to -18 C),,3,3,"Green, Red",Red,"Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B24100>
Shojo Nomura maple,Slow,Full sun,,Zone 6: (-23 to -18 C),,5,3,,Red,"Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BA00D0>
red nail maple,Slow,Full sun,,Zone 6: (-23 to -18 C),,3,4,,,"Not showy, Yellow, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A0D370>
Koto No Ito maple,Moderate,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,5,5,,"Yellow, Orange, Red","Not showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C05340>
moosewood maple,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,10,7,,Yellow,"Showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C87790>
Norway maple,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,30,15,,Yellow,"Not showy, Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BD83A0>
Crimson King Norway maple,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),,30,15,"Purple, Dark-red, dark purple when mature",Purple,"Yellow, Red, (sepals red-tinged)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08CA0>
Princeton Gold Norway maple,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,30,15,,Yellow,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BD8850>
Crimson Sentry maple,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Low,15,5,"Purple, Dark-red","Yellow, Red, Dark-red","Showy, Green-yellow, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CFC8E0>
sycamore maple,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,22,25,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E08730>
red maple,Moderate,Full sun,Acidic,Zone 3: (-40 to -34 C),Moderate,22,15,,Red,"Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08FA0>
Red Sunset maple,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,15,5,,,"Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E81CD0>
Bowhall maple,Moderate,"Full sun, Part sun/part shade",Acidic,Zone 3: (-40 to -34 C),Low,15,5,,"Yellow, Orange, Red","Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EFE940>
silver maple,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low,30,15,,"Yellow, Orange, Red","Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D97A90>
sugar maple,Fast,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low,22,15,,"Yellow, Orange, Red","Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F72D90>
gold full moon maple,Slow,"Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,7,7,,Red,"White, Yellow, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FF5190>
"Amur maple, Tatarian maple",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Moderate,5,5,,Red,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064DA30>
"Manchurian snakebark maple, Manchu striped maple, Joe Witt striped maple",Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,10,10,,Yellow,"Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50263D00>
Gold Plate yarrow,Fast,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry",1.3,0.6,"Silver / Grayish, Green, grey-green",,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52038310>
common yarrow,Moderate,Full sun,Rocky or gravelly or dry,Zone 2: (-46 to -40 C),Low,1.3,1.0,,Yellow,"Showy, White, Yellow, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x875 at 0x7FBF51DB2190>
yarrow cultivars,Fast,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry",0.7,0.6,"Green, Silver / Grayish","Yellow, Silver / Grayish","Showy, White, Yellow, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EC8DC0>
autumn monkshood,Fast,"Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,1.3,0.3,,"Green, Yellow","Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F35940>
monkshood,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,0.7,0.6,,Green,"Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506E69D0>
variegated sweet flag,Fast,"Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 3: (-40 to -34 C),"Aquatic, Wetlands",1.3,0.6,,,"Not showy, Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CA0460>
"variegated sweet flag, variegated Japanese flag",Moderate,"Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"Moderate, Wetlands",0.4,0.6,"Green, Yellow","Green, Yellow, Brown","Not showy, White, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506E37F0>
"white baneberry, doll's eyes",Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),,1.3,1.5,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FD3D0>
"dark-leaved bugbane, cimicifuga",Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),,1.3,1.5,,Purple,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503B7F40>
hardy kiwi,Fast,Full sun,,Zone 3: (-40 to -34 C),,7,2.0,"Green, Bronze",,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5199D670>
fuzzy kiwi,Fast,Full sun,,Zone 7: (-18 to -12 C),,7,2.0,"Bronze, Green",Yellow,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51A190D0>
actinidia,Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),Moderate,7,7,"Green, Pink",Yellow,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50064D30>
actinidia,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,30,3,,Yellow,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CCC040>
maidenhair fern,Slow,"Deep shade, Filtered shade",,Zone 5: (-29 to -23 C),Low,0.4,0.6,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51BD4040>
maidenhair fern,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate,0.7,1.0,"Green, Purple","Green, Purple",No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5199D1F0>
"silver urn plant, silver vase",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low,0.7,0.6,"Green, Silver / Grayish, White hairs",,"Showy, Blue, Pink, (Short-lived blue petals; long-lived pink bracts.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50628CD0>
"goutweed, bishop's weed",Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"High, Low, Moderate",0.4,25,"Green, Nearly White","Green, Nearly White","White, (creamy white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C111F0>
lipstick plant,Moderate,"Filtered shade, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low,0.4,1.0,"Brown, Dark-green, Dark brown marbled coloration; purple underside.",,"Yellow, Orange, Dark-red, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BF2A90>
"ruby horse chestnut, red horse chestnut",Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,15,15,,Yellow,"Showy, Pink, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50774D30>
Chinese horse chestnut,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,30,25,,"Brown, Yellow","Showy, White, (pink and yellow spots on some petals)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50344F40>
yellow buckeye,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),,22,15,"Green, Dark-green","Yellow, Orange","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A104C0>
common horse chestnut,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,30,25,,"Yellow, Brown","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B88220>
African lily,Fast,Full sun,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),,0.7,0.6,,Yellow,"Showy, Purple, Violet, Blue, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B55970>
"anise-hyssop, giant hyssop",,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate,1.3,0.6,,Yellow,"Showy, Blue, Yellow, Pink, White, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C69F40>
"agastache, Mexican hyssop",Fast,Full sun,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate, Summer dry",1.3,0.6,,,"Orange, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D70370>
century plant,Slow,"Full sun, Sheltered","Acidic, Well-drained",Zone 9: (-7 to -1 C),Low,1.3,1.0,"Green, Silver / Grayish",,"Showy, Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B55400>
threadleaf agave,Slow,"Full sun, Sheltered",Well-drained,Zone 8a: (-12 to -9.5 C),,0.7,1.0,,Dark-green,"Showy, Pink, Dark-red, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506A52B0>
white snakeroot,Fast,Full sun,,Zone 4: (-34 to -29 C),,1.3,1.0,"Dark-green, Dark-red",,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51922040>
floss flower,,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 8b: (-9.4 to -7 C),,0.4,0.3,,Yellow,"White, Violet, Blue, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BA5520>
Chinese evergreen,Slow,"Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),Low,1.3,0.6,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF502D2910>
velvet bentgrass,,Full sun,Well-drained,Zone 3: (-40 to -34 C),,0.2,0.3,,,"Showy, Brown, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF50015CA0>
colonial bentgrass,,Full sun,Well-drained,Zone 3: (-40 to -34 C),,0.7,0.3,,Green,"Showy, Red, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064DAF0>
creeping bentgrass,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),,0.2,1.0,,,"Brown, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A3BEB0>
tree of heaven,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,30,15,,Green-yellow,"Not showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B9FD30>
Chocolate Chip carpet bugle,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Low,0.2,1.0,"Green, Purple","Green, Purple","Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503744F0>
crisp leaf carpet bugle,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Low,0.4,0.6,"Green, Purple","Green, Purple","Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50759D90>
"bugleweed, carpet bugleweed",Moderate,,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),Moderate,0.2,1.0,,,"Showy, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506DD4F0>
bugleweed,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate,0.2,0.3,"Purple, Dark-red, Nearly Black, Green, Dark-green, Bronze, Green-yellow","Purple, Green-yellow, Green, Dark-red, Bronze, Nearly Black","Showy, Blue, Violet, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B40610>
chocolate vine,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,10,4,,"Green, Purple","Showy, White, Purple, Dark-red, Brown, (chocolate-brown; white-flowered plant is cv. 'Albiflorus'.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CD39D0>
"silk tree, mimosa",,,,Zone 6: (-23 to -18 C),,7,5,,,"Showy, Pink, (petals green, inconspicuous )",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BF6AF0>
hollyhock,,,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),,2.0,0.6,,"Brown, Yellow","Showy, White, Yellow, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50379B20>
lady's mantle,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.4,1.0,,Green-yellow,"Showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004DDC0>
hybrid ornamental onion,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,0.7,0.6,,Yellow,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACEE80>
leek,Fast,,,Zone 6: (-23 to -18 C),,1.3,1.0,,,"Showy, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502FD040>
bulb onion,,Full sun,,Zone 4: (-34 to -29 C),,0.7,0.3,,Brown,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50325130>
nodding onion,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),,0.4,0.3,,Yellow,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50379970>
"green onion, Welsh onion, Japanese bunching onion",Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),,0.7,0.6,,,"Showy, White, (yellow anthers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EA6040>
"ornamental onion, Persian onion",Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry",0.7,0.3,,"Yellow, Brown","Showy, Magenta, Purple, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C25B80>
garlic,Fast,Full sun,,Zone 4: (-34 to -29 C),,1.3,1.0,,Yellow,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004A2B0>
chives,Fast,"Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.4,0.3,,Green,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E2BA00>
drumstick allium,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),,1.3,0.3,,"Yellow, Brown","Showy, Purple, (purple)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F530D0>
"garlic chives, Chinese chives",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low,1.3,0.6,"Green, Silver / Grayish",,"Showy, White, (tepal midrib reddish-brown)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502E5850>
Manchurian alder,Fast,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),High,22,10,,"Brown, Yellow","Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B0AD00>
red alder,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate,30,10,,"Yellow, Brown","Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DD6EE0>
African mask,Fast,"Full sun, Part sun/part shade, Sheltered",Acidic,Zone 10: (-1 to 4 C),"Low, Moderate",1.3,0.6,"Dark-green, Bronze",,"White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A9DEE0>
healing plant,Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),Low,0.7,0.6,,Green,"Showy, Yellow, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FBE9D0>
"alstroemeria, Peruvian lily",Fast,"Filtered shade, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate,1.3,0.6,,,"Showy, White, Yellow, Orange, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE9490>
mountain gold alyssum,,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),,0.4,0.6,"Green, Silver / Grayish","Green, Silver / Grayish","Showy, Yellow, (golden or lemon yellow flowers )",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5070AF70>
"serviceberry, Saskatoon",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate,5,4,"Bluish, Green",Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5195EB20>
"serviceberry, saskatoon",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,10,7,"Green, Dark-green","Yellow, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5072DA00>
blue pimpernel,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,0.2,0.6,,,"Showy, Blue, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064D2E0>
