name,growth_rate,exposure,soil,hardiness,water
"white baneberry, doll's eyes",Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
"dark-leaved bugbane, cimicifuga ",Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
hardy kiwi ,Fast,Full sun,,Zone 3: (-40 to -34 C),NA
fuzzy kiwi ,Fast,Full sun,,Zone 7: (-18 to -12 C),NA
actinidia ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
maidenhair fern ,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
"silver urn plant, silver vase ",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low
"goutweed, bishop's weed ",Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"High, Low, Moderate"
lipstick plant,Moderate,"Filtered shade, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low
"ruby horse chestnut, red horse chestnut ",Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
Chinese horse chestnut ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
yellow buckeye ,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),NA
common horse chestnut ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
African lily ,Fast,Full sun,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),NA
"anise-hyssop, giant hyssop ",,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
"agastache, Mexican hyssop ",Fast,Full sun,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate, Summer dry"
century plant,Slow,"Full sun, Sheltered","Acidic, Well-drained",Zone 9: (-7 to -1 C),Low
threadleaf agave,Slow,"Full sun, Sheltered",Well-drained,Zone 8a: (-12 to -9.5 C),NA
white snakeroot ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
floss flower ,,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 8b: (-9.4 to -7 C),NA
Chinese evergreen ,Slow,"Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),Low
velvet bentgrass ,,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
colonial bentgrass ,,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
creeping bentgrass ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
tree of heaven ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
Chocolate Chip carpet bugle  ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Low
crisp leaf carpet bugle ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Low
"bugleweed, carpet bugleweed ",Moderate,,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),Moderate
bugleweed ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
chocolate vine ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"silk tree, mimosa ",,,,Zone 6: (-23 to -18 C),NA
hollyhock ,,,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
lady's mantle ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
hybrid ornamental onion ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
leek ,Fast,,,Zone 6: (-23 to -18 C),NA
bulb onion ,,Full sun,,Zone 4: (-34 to -29 C),NA
nodding onion ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
"green onion, Welsh onion, Japanese bunching onion ",Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
"ornamental onion, Persian onion ",Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
garlic ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
chives ,Fast,"Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
drumstick allium,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
"garlic chives, Chinese chives ",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
Manchurian alder ,Fast,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),High
red alder ,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
African mask ,Fast,"Full sun, Part sun/part shade, Sheltered",Acidic,Zone 10: (-1 to 4 C),"Low, Moderate"
healing plant,Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),Low
"alstroemeria, Peruvian lily ",Fast,"Filtered shade, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
mountain gold alyssum ,,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),NA
"serviceberry, Saskatoon ",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate
"serviceberry, saskatoon ",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
blue pimpernel,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
pearly everlasting ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),NA
bog rosemary ,Slow,"Filtered shade, Full sun","Acidic, Bog",Zone 2: (-46 to -40 C),NA
big bluestem grass,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
"New Zealand wind grass, wind grass, pheasant grass ",Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
"Japanese windflower , anemone",Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate"
"Greek windflower, blue wood anemone ",,"Filtered shade, Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Summer dry
anemone ,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 8b: (-9.4 to -7 C),NA
"pilsatilla, pasque flower",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
snowdrop anemone ,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
dill ,Fast,"Full sun, Sheltered","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
giant angelica ,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich",Zone 4: (-34 to -29 C),NA
summer snapdragon ,Fast,Full sun,,Zone 9: (-7 to -1 C),NA
pussy toes ,Slow,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 3: (-40 to -34 C),NA
anthurium ,,,Well-drained,Zone 10: (-1 to 4 C),Low
snapdragon ,Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 7: (-18 to -12 C),Moderate
zebra plant,Moderate,,,Zone 11: (above 4 C),NA
hybrid columbine ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
European columbine ,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Compinkie rock cress ,,,,Zone 5: (-29 to -23 C),NA
coast rock cress ,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
rock cress ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
Japanese angelica tree,Moderate,"Full sun, Part sun/part shade, Sheltered",Humus rich,Zone 5: (-29 to -23 C),Moderate
monkey puzzle tree,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
Norfolk Island pine ,,,Well-drained,Zone 9: (-7 to -1 C),Moderate
"arbutus, madrona ",Slow,Full sun,"Acidic, Rocky or gravelly or dry",Zone 7: (-18 to -12 C),"Low, Summer dry"
strawberry tree,Moderate,"Full sun, Part sun/part shade, Sheltered",Well-drained,Zone 7: (-18 to -12 C),Moderate
"bearberry, kinnikinnick",Slow,"Full sun, Part sun/part shade","Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
African daisy ,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
mountain sandwort ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low
"Marguerite daisy, cobbitty daisy ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"atlas broom, pineapple broom ",Fast,Full sun,,Zone 7: (-18 to -12 C),NA
Japanese Jack-in-the-pulpit ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
Dutchman's pipe ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
hybrid thrift ,Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
thrift ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
perennial armeria,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low
horseradish ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
black chokeberry ,Moderate,"Full sun, Part sun/part shade","Bog, Well-drained",Zone 4: (-34 to -29 C),Low
variegated bulbous oat grass ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
Powis Castle artemisia ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Summer dry, Winter dry"
French tarragon ,,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
Guizhou white mugwort ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
Valerie Finnis artemisia ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Summer dry, Winter dry"
"silvermound, wormwood, silver mound ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Summer dry, Winter dry"
Silver Brocade artemisia,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Summer dry, Winter dry"
painted arum ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
goat's beard ,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
Canadian wild ginger ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
western wild ginger ,Slow,"Deep shade, Filtered shade","Acidic, Bog, Humus rich",Zone 6: (-23 to -18 C),Moderate
European wild ginger ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 4: (-34 to -29 C),Moderate
"pawpaw, Custard apple ",Moderate,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
foxtail fern ,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 9: (-7 to -1 C),Moderate
Sprengeri asparagus fern ,Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),High
asparagus ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
"Ming fern, pom pom asparagus fern",Moderate,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),High
plumosus fern ,,,"Acidic, Alkaline",Zone 9: (-7 to -1 C),Moderate
"tree fern, African broom fern",,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
bird's-nest fern ,Fast,"Full sun, Part sun/part shade",Acidic,Zone 10: (-1 to 4 C),Moderate
Hart's tongue fern ,Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),Low
common aster,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
Frikart aster,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low
alpine aster,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
"hybrid astilbe, garden astilbe",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 4: (-34 to -29 C),Moderate
Chinese astilbe,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),"Aquatic, High, Moderate, Wetlands"
shieldleaf rodgersia,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
"masterwort, astrantia",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Low
lady fern,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Bog, Humus rich",Zone 4: (-34 to -29 C),"Moderate, Wetlands"
Japanese painted fern,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
common rock cress,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"Japanese aucuba, Japanese laurel ",Moderate,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
"perennial alyssum, basket-of-gold, gold dust alyssum ",,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"Fairy moss, mosquito fern ",Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),Aquatic
Tasmanian tree fern ,Slow,"Deep shade, Filtered shade, Part sun/part shade, Sheltered",Humus rich,Zone 8b: (-9.4 to -7 C),High
"vine spinach, Malabar spinach ",Fast,Full sun only if soil kept moist,Humus rich,Zone 10: (-1 to 4 C),NA
ponytail palm ,Slow,Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Zone 10: (-1 to 4 C),Low
"fibrous begonia, wax begonia",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"Dragon Wing begonia, foliage begonia",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),High
tuberous begonia,Moderate,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"Hiemalis begonia, Rieger begonia",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
angel wing begonia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Low
"hardy begonia, giant begonia",Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),High
iron cross begonia,,"Part sun/part shade, Sheltered","Acidic, Alkaline, Well-drained",Zone 11: (above 4 C),Low
rex begonia,Slow,"Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),Low
English daisy ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
William Penn barberry ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low
barberry (GAZW),,Full sun,,Zone 5: (-29 to -23 C),NA
narrow-leaf barberry ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate"
barberry (GAZE),,,,Zone 5: (-29 to -23 C),NA
"box leaf barberry, dwarf Magellan barberry",Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Moderate"
wintergreen barberry ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
Japanese barberry ,Fast,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),NA
red leaf Japanese barberry ,Fast,"Full sun only if soil kept moist, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),NA
Golden Nugget Japanese barberry ,,Full sun,,Zone 4: (-34 to -29 C),NA
warty barberry ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate"
heartleaf bergenia,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
Swiss chard ,Fast,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
garden beet ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
Chinese paper birch ,Fast,"Filtered shade, Full sun",Well-drained,Zone 5: (-29 to -23 C),Low
yellow birch ,,Full sun,,Zone 4: (-34 to -29 C),NA
"cherry birch, sweet birch, black birch ",,,,Zone 3: (-40 to -34 C),NA
river birch ,Fast,"Full sun, Part sun/part shade","Bog, Well-drained",Zone 4: (-34 to -29 C),Wetlands
paper birch ,Fast,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate
"European white birch, silver birch ",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),NA
Jacquemont birch ,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
bidens ,,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
European bisort ,,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"Silver Lady fern, dwarf tree fern ",,"Full sun only if soil kept moist, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
deer fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
hardy orchid ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
"false aster, Snowbank aster",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
paper flower,Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),High
"ragwort, daisy bush ",Moderate,Full sun,,Zone 8a: (-12 to -9.5 C),NA
Swan River daisy ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
"cut-leaf daisy, rock daisy ",Fast,Full sun,Well-drained,Zone 11: (above 4 C),Moderate
broccoli ,Fast,Full sun,"Humus rich, Well-drained",Zone 2: (-46 to -40 C),NA
"cabbage, head cabbage ",Fast,Full sun,,Zone 2: (-46 to -40 C),NA
Brussels sprout ,,Full sun,Humus rich,Zone 2: (-46 to -40 C),NA
cauliflower ,Fast,Full sun,Well-drained,Zone 2: (-46 to -40 C),NA
"kale , collard ",Moderate,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),Moderate
turnip ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
quaking grass ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),"Low, Moderate"
angels' trumpets ,Fast,Full sun,,Zone 9: (-7 to -1 C),NA
Siberian bugloss ,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
moss ,Slow,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
hybrid butterfly bush ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"Moderate, Summer dry"
butterfly bush ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"Moderate, Summer dry"
flowering rush,Fast,Full sun,Bog,Zone 2: (-46 to -40 C),NA
"Asian boxwood, Korean boxwood, Winter Gem boxwood",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
common boxwood ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Alkaline, Well-drained",Zone 6: (-23 to -18 C),Moderate
"Korean littleleaf boxwood, winter gem boxwood, green velvet boxwood  ",Slow,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
"caladium, angel wings ",Slow,"Deep shade, Filtered shade, Part sun/part shade",,Zone 10: (-1 to 4 C),High
feather reed grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Moderate, Wetlands"
peacock plant,Moderate,Part sun/part shade,,Zone 11: (above 4 C),Moderate
calathea,,Part sun/part shade,,Zone 11: (above 4 C),Moderate
"pocketbook plant, pouch flower, lady's slipper ",Moderate,"Filtered shade, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate
pouch flower,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate
"calibrachoa, mini petunia, trailing petunia ",Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
beautyberry ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
crimson bottlebrush,Fast,Full sun,,Zone 9: (-7 to -1 C),NA
heather ,Slow,Full sun,"Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"High, Moderate"
California incense cedar ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
yellow marsh marigold ,Moderate,Full sun,Bog,Zone 3: (-40 to -34 C),Aquatic
